Reactivo,Unidad,Concentracion de reactivo,Concentracion de titulante,pH,pH_predicho,Error_abs,Error_pct
Urea,g/L,0.05,-0.0243,3.0,3.177580689751238,-0.1775806897512382,5.919356325041273
Urea,g/L,0.05,-0.0242,3.01,3.1673284623516444,-0.15732846235164466,5.2268592143403545
Urea,g/L,0.05,-0.0241,3.01,3.1575336015446496,-0.14753360154464978,4.901448556300657
Urea,g/L,0.05,-0.024,3.01,3.148185717854318,-0.1381857178543182,4.590887636356087
Urea,g/L,0.05,-0.0239,3.01,3.1392745309585735,-0.12927453095857366,4.294834915567232
Urea,g/L,0.05,-0.0238,3.02,3.1307898696892646,-0.11078986968926463,3.6685387314326037
Urea,g/L,0.05,-0.0237,3.02,3.1227216720321014,-0.10272167203210136,3.401379868612628
Urea,g/L,0.05,-0.0235,3.02,3.1077949652665744,-0.08779496526657438,2.907118055184582
Urea,g/L,0.05,-0.0234,3.02,3.100916877899122,-0.08091687789912205,2.6793668178517236
Urea,g/L,0.05,-0.0233,3.02,3.094416097625629,-0.07441609762562917,2.464109192901628
Urea,g/L,0.05,-0.0232,3.02,3.0882831082012814,-0.06828310820128136,2.261030072890111
Urea,g/L,0.05,-0.0231,3.02,3.082508502535143,-0.06250850253514306,2.0698179647398365
Urea,g/L,0.05,-0.023,3.03,3.0770829826901878,-0.04708298269018796,1.5538938181580186
Urea,g/L,0.05,-0.0229,3.03,3.0719973598832766,-0.0419973598832768,1.386051481296264
Urea,g/L,0.05,-0.0227,3.03,3.06280959602044,-0.03280959602043998,1.0828249511696364
Urea,g/L,0.05,-0.0226,3.03,3.0586896231676857,-0.028689623167685863,0.9468522497586094
Urea,g/L,0.05,-0.0225,3.03,3.0548738837593223,-0.024873883759322535,0.820920256083252
Urea,g/L,0.05,-0.0224,3.03,3.051353734781646,-0.02135373478164615,0.7047437221665396
Urea,g/L,0.05,-0.0223,3.04,3.0481206423748652,-0.008120642374865206,0.2671263939100397
Urea,g/L,0.05,-0.0222,3.04,3.045166181833089,-0.005166181833089034,0.16994019187792875
Urea,g/L,0.05,-0.022,3.04,3.0400600032903604,-6.000329036037755e-05,0.001973792446065051
Urea,g/L,0.05,-0.0219,3.04,3.0378919816470695,0.0021080183529305074,0.06934270897797722
Urea,g/L,0.05,-0.0218,3.05,3.0359699845840744,0.014030015415925412,0.46000050544017745
Urea,g/L,0.05,-0.0217,3.05,3.0342861331649473,0.015713866835052492,0.5152087486902457
Urea,g/L,0.05,-0.0216,3.05,3.0328326576071163,0.017167342392883533,0.5628636850125749
Urea,g/L,0.05,-0.0215,3.05,3.0316018972819325,0.0183981027180673,0.6032164825595836
Urea,g/L,0.05,-0.0213,3.05,3.029778425584304,0.02022157441569572,0.6630024398588761
Urea,g/L,0.05,-0.0212,3.05,3.0291709387239916,0.020829061276008254,0.6829200418363363
Urea,g/L,0.05,-0.0211,3.06,3.0287566161205888,0.03124338387941128,1.0210256169742247
Urea,g/L,0.05,-0.021,3.06,3.0285283429149015,0.03147165708509858,1.0284855256568164
Urea,g/L,0.05,-0.0209,3.06,3.028479113401607,0.031520886598392917,1.0300943332808141
