Reactivo,Unidad,Concentracion de reactivo,Concentracion de titulante,pH
(NH4)2 SO4,g/L,0.50,-0.01137,3.01
(NH4)2 SO4,g/L,0.50,-0.01088,3.03
(NH4)2 SO4,g/L,0.50,-0.01039,3.05
(NH4)2 SO4,g/L,0.50,-0.0099,3.07
(NH4)2 SO4,g/L,0.50,-0.00941,3.09
(NH4)2 SO4,g/L,0.50,-0.00892,3.10
(NH4)2 SO4,g/L,0.50,-0.00843,3.13
(NH4)2 SO4,g/L,0.50,-0.00794,3.15
(NH4)2 SO4,g/L,0.50,-0.00744,3.19
(NH4)2 SO4,g/L,0.50,-0.00695,3.22
(NH4)2 SO4,g/L,0.50,-0.00646,3.25
(NH4)2 SO4,g/L,0.50,-0.00596,3.28
(NH4)2 SO4,g/L,0.50,-0.00547,3.32
(NH4)2 SO4,g/L,0.50,-0.00498,3.36
(NH4)2 SO4,g/L,0.50,-0.00448,3.41
(NH4)2 SO4,g/L,0.50,-0.00398,3.46
(NH4)2 SO4,g/L,0.50,-0.00349,3.51
(NH4)2 SO4,g/L,0.50,-0.00299,3.58
(NH4)2 SO4,g/L,0.50,-0.00249,3.66
(NH4)2 SO4,g/L,0.50,-0.002,3.76
(NH4)2 SO4,g/L,0.50,-0.0015,3.91
(NH4)2 SO4,g/L,0.50,-0.001,4.37
(NH4)2 SO4,g/L,0.50,-0.0005,5.91
(NH4)2 SO4,g/L,0.50,0,6.21
(NH4)2 SO4,g/L,0.50,0.0005,7.27
(NH4)2 SO4,g/L,0.50,0.001,7.55
(NH4)2 SO4,g/L,0.50,0.0015,7.72
(NH4)2 SO4,g/L,0.50,0.002,7.78
(NH4)2 SO4,g/L,0.50,0.00249,7.93
(NH4)2 SO4,g/L,0.50,0.00299,8.02
(NH4)2 SO4,g/L,0.50,0.00349,8.13
(NH4)2 SO4,g/L,0.50,0.00398,8.22
(NH4)2 SO4,g/L,0.50,0.00448,8.25
(NH4)2 SO4,g/L,0.50,0.00498,8.33
(NH4)2 SO4,g/L,0.50,0.00547,8.37
(NH4)2 SO4,g/L,0.50,0.00596,8.46
(NH4)2 SO4,g/L,0.50,0.00646,8.49
(NH4)2 SO4,g/L,0.50,0.00695,8.52
(NH4)2 SO4,g/L,0.50,0.00744,8.58
(NH4)2 SO4,g/L,0.50,0.00794,8.60
(NH4)2 SO4,g/L,0.50,0.00843,8.66
