Reactivo,Unidad,Concentracion de reactivo,Concentracion de titulante,pH
CaCl2,g/L,1,-0.0258,3
CaCl2,g/L,1,-0.0244,3.01
CaCl2,g/L,1,-0.0231,3.03
CaCl2,g/L,1,-0.0217,3.05
CaCl2,g/L,1,-0.0204,3.07
CaCl2,g/L,1,-0.019,3.09
CaCl2,g/L,1,-0.0177,3.12
CaCl2,g/L,1,-0.0163,3.16
CaCl2,g/L,1,-0.015,3.19
CaCl2,g/L,1,-0.0136,3.21
CaCl2,g/L,1,-0.0123,3.26
CaCl2,g/L,1,-0.0109,3.28
CaCl2,g/L,1,-0.0096,3.34
CaCl2,g/L,1,-0.0082,3.38
CaCl2,g/L,1,-0.0068,3.4
CaCl2,g/L,1,-0.0055,3.44
CaCl2,g/L,1,-0.0041,3.47
CaCl2,g/L,1,-0.0027,3.5
CaCl2,g/L,1,-0.0014,3.91
CaCl2,g/L,1,0,5.32
CaCl2,g/L,1,0.0003,5.32
CaCl2,g/L,1,0.0006,5.41
CaCl2,g/L,1,0.0009,5.48
CaCl2,g/L,1,0.0011,5.53
CaCl2,g/L,1,0.0014,5.6
CaCl2,g/L,1,0.0017,5.63
CaCl2,g/L,1,0.002,5.67
CaCl2,g/L,1,0.0023,5.72
CaCl2,g/L,1,0.0026,5.84
CaCl2,g/L,1,0.0029,5.95
CaCl2,g/L,1,0.0031,6.12
CaCl2,g/L,1,0.0034,6.24
CaCl2,g/L,1,0.0037,6.33
CaCl2,g/L,1,0.004,6.63
CaCl2,g/L,1,0.0043,6.94
CaCl2,g/L,1,0.0046,7.23
CaCl2,g/L,1,0.0048,7.44
CaCl2,g/L,1,0.0051,7.64
CaCl2,g/L,1,0.0054,7.81
CaCl2,g/L,1,0.0057,7.98
CaCl2,g/L,1,0.006,8.13
CaCl2,g/L,1,0.0063,8.24
CaCl2,g/L,1,0.0065,8.35
CaCl2,g/L,1,0.0068,8.45
CaCl2,g/L,1,0.0071,8.55
CaCl2,g/L,1,0.0074,8.63
CaCl2,g/L,1,0.0077,8.68
CaCl2,g/L,1,0.0079,8.71
CaCl2,g/L,1,0.0082,8.77
CaCl2,g/L,1,0.0085,8.83
CaCl2,g/L,1,0.0088,8.88
CaCl2,g/L,1,0.0091,8.92
CaCl2,g/L,1,0.0093,8.93
CaCl2,g/L,1,0.0096,8.96
CaCl2,g/L,1,0.0099,9
CaCl2,g/L,3,-0.0258,3
CaCl2,g/L,3,-0.0244,3.02
CaCl2,g/L,3,-0.0231,3.05
CaCl2,g/L,3,-0.0217,3.06
